priorita,componente,servizi_coinvolti,riproducibile,commenti_iniziali,esperienza_assegnatario,ore_risoluzione
3,frontend,1,0,5,11.4,4.2
1,frontend,3,0,2,4.6,7.6
3,infrastruttura,3,0,5,6.1,37.5
1,frontend,3,1,2,6.1,4.8
1,backend,1,1,1,7.0,1.9
3,frontend,2,0,5,11.1,4.8
3,frontend,1,1,3,6.0,1.7
2,database,3,1,2,4.4,19.3
3,backend,2,1,2,2.4,7.1
2,backend,4,1,2,3.4,13.8
3,frontend,1,1,0,8.9,1.6
2,infrastruttura,4,0,3,10.1,30.8
3,backend,4,1,4,3.7,12.5
3,infrastruttura,1,1,3,7.9,5.6
2,frontend,3,1,0,3.2,4.9
3,backend,2,1,2,1.1,14.8
3,frontend,3,0,3,1.6,11.9
1,database,1,0,3,9.4,12.6
3,database,2,0,3,1.2,45.6
3,backend,2,1,3,7.5,5.2
2,frontend,2,0,5,5.7,7.2
4,frontend,1,1,2,9.8,1.5
3,frontend,3,1,1,5.3,2.8
3,database,2,0,5,6.6,27.1
4,frontend,2,1,1,5.6,3.2
4,frontend,2,1,2,6.1,3.5
3,backend,2,0,2,4.8,9.8
3,frontend,2,1,1,6.7,3.5
2,infrastruttura,1,0,3,4.0,14.7
2,frontend,1,1,1,8.6,2.3
4,infrastruttura,1,1,3,5.3,4.4
2,backend,3,0,2,8.2,12.5
4,backend,3,1,2,2.9,11.5
1,backend,2,1,7,3.8,5.5
2,backend,3,1,4,1.6,16.1
2,backend,5,1,4,6.2,15.1
3,frontend,3,1,1,6.0,4.5
1,infrastruttura,1,0,2,3.4,13.7
2,backend,1,1,1,4.9,2.7
4,backend,1,1,3,2.3,7.9
3,backend,3,1,1,9.1,5.2
3,backend,2,1,3,8.9,2.7
2,backend,3,1,3,4.8,7.3
2,backend,3,0,3,4.2,17.3
3,frontend,3,1,2,1.4,6.7
1,backend,2,1,2,8.0,4.8
3,frontend,3,1,3,2.7,8.2
4,infrastruttura,4,1,5,8.4,17.9
1,frontend,2,1,1,1.6,2.2
4,infrastruttura,3,1,1,2.3,11.3
2,backend,4,1,2,1.9,15.6
2,database,3,1,2,2.6,9.5
2,infrastruttura,1,1,3,17.3,3.7
4,frontend,3,0,3,4.4,14.1
3,backend,2,1,4,7.3,5.9
3,frontend,3,0,3,2.2,12.4
2,frontend,3,1,0,2.9,3.9
4,backend,4,1,1,13.5,8.6
3,backend,1,1,1,4.5,3.0
3,database,3,1,3,5.4,12.8
3,frontend,2,0,6,6.4,8.2
3,database,3,1,4,12.4,12.8
3,frontend,3,1,2,0.6,9.7
2,frontend,2,1,5,9.4,3.7
4,frontend,1,0,2,10.6,2.6
2,backend,2,1,2,6.9,6.4
4,backend,1,0,2,4.0,5.1
2,frontend,2,1,2,5.9,2.9
2,frontend,1,1,1,2.1,3.3
2,backend,4,0,5,1.0,37.0
3,database,2,1,0,5.4,4.5
2,frontend,3,1,1,0.5,8.2
4,database,3,1,0,3.3,16.0
3,backend,1,0,4,2.3,4.9
2,backend,2,0,3,4.0,11.2
3,frontend,1,1,1,4.2,1.7
3,infrastruttura,1,0,4,1.9,23.5
4,backend,3,1,2,6.6,7.0
2,backend,2,1,1,10.2,5.1
4,infrastruttura,1,0,3,2.1,22.6
1,database,4,0,9,2.0,99.3
3,database,2,0,6,4.6,40.3
3,database,3,0,3,1.0,61.4
3,frontend,1,1,0,4.7,1.6
1,database,3,0,2,9.4,25.4
3,frontend,1,1,2,2.0,3.1
2,infrastruttura,2,1,3,11.9,5.4
2,backend,2,0,3,3.6,12.0
2,frontend,1,1,2,3.9,2.0
3,backend,2,1,1,3.1,5.2
2,database,2,0,2,7.8,16.5
3,backend,2,1,4,5.1,5.1
4,database,2,1,4,3.7,12.7
3,frontend,2,1,4,2.7,4.0
3,frontend,3,1,7,5.7,8.5
3,backend,1,1,4,10.7,3.2
2,backend,1,1,5,3.9,3.3
3,backend,1,0,5,5.0,7.6
2,infrastruttura,2,1,5,1.4,11.4
1,backend,3,0,2,5.0,13.8
2,backend,1,0,5,17.5,4.9
3,backend,1,1,1,1.8,5.3
2,infrastruttura,1,0,7,6.0,29.1
2,backend,2,1,2,3.2,4.0
4,database,1,1,1,1.3,5.9
2,frontend,1,0,2,3.5,3.0
3,database,2,0,7,15.1,38.1
3,frontend,3,1,0,5.9,3.6
3,database,2,1,1,5.5,4.9
1,infrastruttura,2,1,2,1.9,16.1
1,infrastruttura,2,0,5,8.9,17.4
4,frontend,1,1,3,11.1,1.1
3,database,3,1,1,10.8,6.5
1,frontend,4,1,2,8.6,5.0
2,backend,3,1,4,2.5,11.7
3,backend,1,1,4,2.0,4.1
2,backend,2,1,1,0.9,7.5
3,frontend,1,1,3,2.2,2.8
3,backend,3,1,0,5.8,9.5
3,backend,1,1,1,2.2,4.3
4,backend,4,1,8,9.2,12.0
3,backend,2,1,1,10.1,3.8
4,database,4,0,8,9.7,69.4
3,backend,3,1,2,1.1,20.1
3,frontend,2,1,3,5.5,2.5
3,backend,4,1,4,5.1,17.4
3,database,2,1,1,9.6,5.3
1,frontend,1,0,5,1.4,3.4
4,frontend,2,0,2,5.1,3.6
4,infrastruttura,2,1,3,1.3,19.3
2,infrastruttura,4,1,3,8.7,24.4
3,backend,2,1,2,0.5,9.2
3,database,2,0,6,14.9,20.0
4,infrastruttura,5,1,1,6.7,13.5
3,backend,1,0,6,4.6,9.5
1,frontend,2,1,2,2.9,3.0
3,backend,4,0,2,9.9,11.7
1,infrastruttura,1,1,1,1.4,6.2
3,backend,1,1,1,0.5,4.3
3,frontend,2,1,1,6.5,3.2
3,infrastruttura,4,1,6,4.4,18.8
2,database,5,0,1,5.8,62.8
3,backend,1,1,2,5.3,2.8
3,infrastruttura,2,1,1,7.1,4.0
2,database,2,0,5,4.6,35.5
2,database,2,1,2,3.5,10.8
2,infrastruttura,1,1,5,4.7,5.7
4,frontend,5,1,0,7.8,7.5
3,database,3,1,2,8.2,11.2
3,backend,3,0,3,6.0,16.9
3,infrastruttura,2,1,1,0.7,22.2
4,infrastruttura,3,0,4,5.5,48.5
3,database,3,1,5,1.2,19.9
1,database,4,1,0,8.4,10.8
2,database,1,0,2,7.7,11.1
1,frontend,2,0,5,2.4,5.3
4,backend,1,1,4,6.9,4.7
3,frontend,4,1,2,5.0,8.0
3,database,4,1,3,2.7,13.2
3,backend,2,0,4,6.8,8.4
4,backend,1,1,3,11.6,3.4
4,frontend,1,1,5,3.4,1.8
3,backend,4,1,2,6.0,9.1
2,backend,2,0,2,2.2,24.0
2,infrastruttura,1,1,0,2.9,5.0
3,infrastruttura,1,1,2,4.8,7.1
3,backend,2,0,4,2.6,19.4
3,database,2,1,1,2.5,6.8
2,frontend,4,1,4,2.0,11.3
3,frontend,2,1,1,10.1,4.1
3,backend,2,1,4,7.9,5.9
2,database,4,0,5,4.7,108.6
4,frontend,1,1,2,8.3,1.5
3,frontend,2,1,0,8.7,3.7
2,backend,1,1,2,4.2,3.5
2,frontend,1,1,5,2.1,2.9
3,backend,1,1,2,6.1,3.7
3,backend,1,0,4,10.1,5.4
2,infrastruttura,2,1,3,7.5,7.9
3,frontend,2,1,1,11.3,2.7
3,frontend,2,1,1,8.6,1.6
1,frontend,2,0,4,15.9,3.1
3,frontend,5,0,8,6.3,26.3
3,database,2,1,2,3.9,10.3
2,backend,1,1,2,7.8,3.2
2,frontend,1,0,2,10.4,3.1
2,infrastruttura,2,0,4,5.6,31.1
3,database,1,1,0,8.7,4.3
4,frontend,4,0,4,3.6,11.1
3,frontend,1,0,6,8.6,3.5
4,database,2,1,3,20.4,5.4
2,backend,1,1,1,3.6,3.6
3,infrastruttura,2,1,1,5.8,4.5
3,frontend,3,1,1,7.2,3.0
3,database,1,0,2,4.5,14.4
4,frontend,1,1,2,3.8,2.8
3,frontend,1,1,3,5.1,1.9
3,database,3,1,1,9.6,7.5
4,database,1,0,5,1.4,28.6
4,frontend,4,1,2,2.6,7.9
4,frontend,2,1,0,4.4,3.6
2,database,3,1,3,8.9,9.9
1,frontend,1,0,2,5.1,2.2
3,frontend,2,1,2,3.1,5.3
3,frontend,2,1,3,12.0,3.6
1,frontend,2,0,0,5.7,3.0
2,database,3,1,2,3.7,13.9
3,frontend,1,0,1,7.1,2.8
2,backend,2,1,1,6.9,5.3
3,backend,2,0,4,5.8,8.4
2,frontend,1,1,2,3.0,2.9
4,backend,1,1,3,8.8,4.1
2,frontend,1,1,0,13.3,1.0
3,database,1,0,1,6.4,12.3
3,database,2,0,4,1.6,49.2
2,database,3,1,3,17.4,6.8
3,backend,4,1,1,7.1,8.3
4,database,2,1,2,2.3,11.2
3,backend,2,1,1,8.5,4.1
1,backend,2,1,2,10.2,2.3
3,frontend,1,0,2,5.2,3.3
2,frontend,1,1,6,1.2,6.1
3,frontend,2,0,5,6.0,11.0
3,frontend,1,1,3,2.3,2.3
3,infrastruttura,3,0,4,7.2,32.2
1,infrastruttura,4,1,0,3.1,13.3
2,frontend,4,1,3,6.7,10.8
1,infrastruttura,1,0,6,3.8,21.8
3,database,1,1,3,6.2,6.7
3,backend,4,0,1,8.7,21.4
3,infrastruttura,4,0,4,8.8,38.9
1,database,2,0,1,2.8,15.7
2,backend,1,0,5,4.1,6.4
3,frontend,1,1,4,4.3,2.1
3,frontend,1,1,1,5.9,1.5
4,infrastruttura,1,0,6,10.6,14.3
2,frontend,1,1,2,4.6,2.4
2,frontend,3,1,5,6.8,5.6
2,frontend,1,1,0,4.5,2.4
3,backend,5,0,5,3.1,41.3
3,backend,2,1,1,1.5,6.1
1,infrastruttura,2,1,3,3.7,8.4
1,backend,1,0,4,2.0,5.0
3,infrastruttura,2,0,2,2.1,18.8
2,backend,2,1,5,6.3,7.0
3,backend,2,1,1,6.7,5.9
2,frontend,4,0,4,9.1,12.3
2,frontend,2,1,0,1.0,4.1
2,infrastruttura,1,1,5,8.1,4.0
4,database,1,0,5,0.5,44.8
1,backend,3,1,1,3.1,8.0
2,infrastruttura,1,1,2,4.5,5.9
4,database,6,1,0,3.1,27.2
2,frontend,3,1,3,5.0,4.7
2,backend,3,1,3,5.7,6.4
2,database,3,1,3,0.5,26.1
3,database,2,0,4,6.9,20.2
3,frontend,6,0,1,3.5,19.6
4,frontend,2,1,1,7.9,4.0
3,backend,2,1,3,8.1,4.9
3,frontend,2,1,3,5.3,1.8
2,frontend,2,1,7,8.8,3.2
3,backend,1,1,3,2.6,3.4
4,backend,2,1,3,3.2,6.3
4,frontend,2,1,3,1.0,3.9
1,backend,2,1,2,7.0,4.3
3,frontend,6,1,3,5.0,11.6
3,backend,2,0,6,4.4,11.3
4,database,3,0,4,4.3,42.8
2,infrastruttura,2,0,1,3.8,25.3
3,frontend,3,0,1,2.1,10.5
3,infrastruttura,2,1,5,1.8,13.4
4,infrastruttura,3,1,3,13.4,10.7
3,backend,2,0,3,6.6,10.3
4,infrastruttura,3,1,4,4.4,16.5
2,frontend,1,1,2,4.0,2.8
2,frontend,2,0,2,6.1,4.7
2,database,1,0,3,9.9,13.0
4,backend,2,0,0,5.4,14.9
2,frontend,3,1,4,16.4,4.0
3,frontend,2,0,6,7.2,6.6
4,frontend,4,1,0,3.5,4.9
4,frontend,3,1,3,1.8,6.1
3,frontend,2,0,3,9.6,5.0
3,infrastruttura,3,1,4,2.4,21.5
2,frontend,2,0,5,8.0,7.1
3,database,4,0,4,6.2,56.7
3,frontend,2,0,4,1.5,11.6
3,frontend,3,1,1,6.0,3.4
2,infrastruttura,4,1,3,6.8,20.6
2,frontend,2,0,1,3.9,5.8
3,frontend,4,1,2,3.7,7.9
3,database,3,1,3,4.0,12.0
4,frontend,1,1,4,9.4,1.5
3,frontend,1,1,2,3.6,1.6
4,infrastruttura,2,0,5,1.1,53.5
3,backend,1,1,0,5.0,3.2
3,backend,4,0,1,1.0,31.1
3,frontend,4,1,2,5.9,6.6
2,frontend,4,1,3,2.2,8.0
2,backend,1,1,1,4.2,3.7
4,backend,2,0,2,2.3,12.4
2,frontend,1,1,1,11.5,1.3
3,infrastruttura,2,1,1,6.2,9.2
2,database,4,1,1,2.2,23.0
3,backend,1,1,3,5.4,2.4
2,backend,1,1,3,1.8,4.9
