righe_modificate,file_modificati,test_modificati,dipendenze_aggiornate,ore_da_ultima_build_verde,commit_autore_nel_repo,tipo_ramo,fallita
936,19,5,1,12.3,76,feature,1
36,5,4,1,34.0,124,feature,1
226,9,0,0,12.6,117,feature,0
33,5,3,0,2.6,64,hotfix,0
251,8,3,0,10.0,84,feature,1
137,5,3,1,3.8,59,feature,1
76,6,3,0,9.8,34,hotfix,0
86,3,2,0,2.9,66,feature,0
44,2,2,0,12.2,7,feature,0
147,5,0,0,5.4,212,feature,0
55,7,1,0,16.3,82,hotfix,0
23,5,3,0,8.5,102,hotfix,0
22,7,1,0,3.1,35,feature,0
109,5,2,0,6.6,82,feature,1
511,16,0,0,12.7,94,feature,0
107,4,2,0,3.9,56,feature,0
79,4,3,1,1.3,59,hotfix,1
123,10,4,0,23.2,17,feature,1
379,11,1,0,4.1,265,hotfix,0
115,8,1,0,10.7,35,release,0
57,6,0,0,5.7,39,feature,0
304,8,0,1,3.6,222,release,1
144,5,2,0,25.3,106,feature,0
488,10,3,1,54.5,124,feature,1
110,13,3,0,3.2,15,hotfix,1
23,2,1,0,14.4,81,feature,0
20,10,4,0,8.5,16,release,0
553,14,1,0,30.5,29,feature,1
599,15,1,0,10.8,293,feature,0
74,6,3,1,1.9,24,hotfix,1
59,7,0,1,30.0,120,feature,1
449,10,1,0,50.4,27,feature,1
27,2,1,1,12.9,30,feature,1
34,4,4,1,2.1,428,feature,0
183,9,1,0,29.0,64,feature,1
58,3,3,0,6.5,14,hotfix,0
90,9,2,0,3.7,124,feature,0
75,5,1,0,14.2,182,hotfix,1
130,4,1,0,39.9,133,hotfix,1
423,12,0,1,20.2,59,feature,1
99,7,0,0,19.3,61,feature,0
183,9,1,0,1.8,42,feature,1
9,8,0,0,21.4,21,hotfix,0
85,3,1,0,16.5,92,feature,0
36,8,4,0,10.4,56,feature,0
24,9,0,0,9.9,16,release,0
34,3,1,0,0.5,66,feature,1
62,3,0,0,1.1,35,feature,0
247,11,1,0,13.8,88,release,0
21,4,0,0,32.5,81,feature,1
93,10,2,0,15.3,49,feature,0
53,11,0,0,11.5,68,feature,0
63,3,1,0,3.0,74,hotfix,0
271,7,3,0,14.9,147,hotfix,0
163,7,2,0,0.1,66,hotfix,1
392,8,0,0,28.2,43,release,1
76,3,2,1,10.0,54,feature,1
42,3,1,1,6.6,250,feature,1
70,14,3,0,20.3,28,feature,1
118,7,1,0,5.9,57,release,0
109,5,2,0,20.9,57,release,0
27,3,2,1,7.8,59,feature,1
99,4,3,0,34.6,20,hotfix,1
116,5,1,0,9.0,54,feature,0
1435,27,4,0,4.5,41,feature,1
709,16,8,0,11.8,88,feature,0
35,6,3,0,12.0,163,release,0
66,5,4,0,29.7,94,feature,1
18,7,1,0,4.5,76,feature,0
47,4,2,0,23.5,102,release,0
127,13,4,0,8.0,82,feature,0
339,12,4,0,14.6,68,feature,0
40,6,0,0,20.8,142,hotfix,1
44,6,3,1,2.3,52,feature,1
8,3,0,0,5.7,19,feature,0
75,5,3,1,6.8,39,feature,1
28,4,1,0,1.7,34,hotfix,1
50,4,1,1,4.5,301,feature,1
34,2,2,0,2.2,171,feature,0
81,7,0,0,24.0,77,hotfix,1
13,8,3,0,11.2,35,feature,0
18,6,2,1,5.8,141,hotfix,1
937,20,1,1,35.3,74,hotfix,1
22,14,4,0,2.9,53,release,0
27,3,2,0,5.2,75,feature,0
679,16,5,0,25.1,54,feature,1
2199,45,4,0,1.3,101,feature,0
25,3,0,0,24.0,17,release,1
60,7,3,0,4.4,100,release,0
131,14,7,0,4.0,54,feature,0
603,14,3,0,4.6,144,feature,0
30,5,0,1,3.4,174,feature,0
69,4,6,0,5.6,203,feature,0
212,9,2,0,10.7,318,hotfix,0
145,5,3,0,5.0,198,hotfix,0
60,5,2,0,22.9,140,feature,0
78,3,1,0,3.6,21,release,0
20,1,1,0,6.7,3,feature,0
69,4,2,0,0.7,155,feature,0
67,4,1,0,14.4,29,feature,0
116,5,4,0,9.3,482,feature,0
49,7,2,0,17.1,12,hotfix,0
151,10,2,0,1.9,136,feature,0
274,10,2,0,1.3,82,feature,0
107,8,1,0,19.0,14,feature,0
133,5,2,0,5.6,82,feature,0
95,4,2,0,32.6,33,feature,1
90,7,2,0,16.4,64,feature,0
41,3,2,0,1.9,65,feature,0
128,4,1,0,1.6,34,feature,0
81,20,4,0,16.0,49,hotfix,1
900,19,7,0,17.7,31,feature,1
508,12,3,0,15.2,8,feature,0
138,5,3,0,14.5,76,feature,0
39,2,0,0,29.3,197,feature,0
26,6,4,0,25.7,33,feature,0
334,9,3,0,7.5,274,feature,0
120,9,0,0,17.3,317,hotfix,0
153,8,2,0,9.6,46,feature,0
13,4,2,0,1.7,57,feature,0
250,6,1,0,29.9,46,release,0
148,7,0,0,1.8,21,feature,0
27,5,1,0,19.9,57,feature,0
54,2,0,0,1.5,51,feature,0
120,7,1,0,3.2,75,feature,0
95,4,2,0,19.8,78,feature,0
65,9,1,1,4.4,19,hotfix,1
80,5,1,0,7.0,115,feature,0
68,4,2,0,10.4,56,hotfix,1
106,7,1,0,46.6,24,release,0
454,12,3,0,2.0,55,feature,0
5,5,0,0,2.8,81,feature,0
69,8,2,0,9.0,225,feature,0
109,7,2,1,3.0,199,feature,1
125,5,2,0,4.9,42,hotfix,1
60,5,2,0,1.0,60,feature,1
13,10,3,0,2.2,30,release,0
129,5,0,0,13.2,93,feature,0
602,15,1,0,16.3,44,feature,0
17,8,1,0,5.5,58,feature,0
233,10,3,0,6.1,160,feature,0
63,6,3,0,0.6,19,feature,1
84,6,2,0,21.8,199,feature,0
28,6,0,0,18.3,101,feature,0
62,4,2,0,30.7,192,feature,0
376,11,1,0,16.9,129,release,0
171,17,2,1,1.9,149,feature,1
605,16,3,0,27.8,72,feature,1
329,10,3,0,11.3,23,hotfix,1
146,6,3,1,32.7,39,hotfix,1
613,13,3,0,7.4,32,hotfix,1
146,7,0,1,1.7,5,release,0
224,9,4,0,7.5,159,feature,0
65,5,3,0,12.3,65,feature,0
97,19,2,0,7.4,29,feature,1
42,3,1,0,7.0,308,feature,0
267,7,3,0,18.8,408,hotfix,0
25,4,1,0,40.6,16,feature,1
213,8,2,0,7.8,57,release,0
73,4,2,0,33.0,53,hotfix,1
326,10,2,0,12.5,26,feature,0
206,9,2,0,13.4,157,feature,0
667,18,3,0,2.9,5,release,0
201,7,5,1,8.1,251,hotfix,0
16,9,4,0,4.3,74,hotfix,0
84,8,2,0,6.1,289,hotfix,0
25,3,3,0,0.7,69,feature,0
51,3,3,0,8.1,53,feature,0
475,12,3,0,5.7,166,feature,0
182,8,4,1,7.0,288,feature,1
42,6,3,0,2.7,254,feature,0
30,7,3,0,0.5,10,feature,0
93,15,3,1,10.9,206,release,1
24,2,0,0,1.1,51,feature,0
43,5,1,0,1.7,62,hotfix,1
127,15,2,0,5.7,50,feature,0
321,12,3,0,9.5,39,feature,0
176,5,1,0,2.8,57,feature,0
7,5,1,0,1.1,25,hotfix,1
126,6,0,0,7.4,207,hotfix,0
97,5,0,0,30.5,128,feature,1
142,5,2,0,10.1,87,feature,1
533,13,0,0,7.7,50,feature,0
9,8,4,1,2.6,41,feature,1
47,4,1,0,11.9,104,feature,0
172,9,1,1,0.9,90,feature,1
16,7,1,0,21.0,176,hotfix,0
456,17,4,0,41.7,42,hotfix,1
135,5,3,0,21.7,38,feature,0
228,8,2,0,0.1,124,hotfix,0
48,4,1,0,9.5,146,feature,0
220,8,2,0,22.8,386,release,0
292,9,5,0,21.5,9,feature,0
116,4,3,0,0.1,216,feature,0
116,7,4,0,10.7,81,hotfix,1
121,16,2,1,28.4,45,feature,1
35,6,0,0,13.2,105,hotfix,0
77,3,0,0,34.4,102,release,0
76,4,1,0,15.3,46,feature,0
137,7,2,1,18.2,10,feature,1
270,7,3,0,6.4,216,feature,0
28,9,2,0,38.6,35,feature,0
78,3,0,0,12.5,29,feature,0
459,13,2,0,23.7,38,release,0
40,2,2,0,0.3,140,feature,0
36,5,2,0,29.1,52,feature,1
112,4,5,0,4.9,39,feature,0
228,10,3,1,1.4,99,release,1
91,9,0,1,5.7,88,release,1
388,12,1,1,7.1,40,feature,1
231,12,0,1,7.7,10,feature,1
227,5,4,0,2.5,137,hotfix,0
166,7,2,1,1.8,89,feature,1
1165,25,8,1,9.1,6,release,1
72,7,5,0,1.4,240,release,1
10,6,4,0,21.0,5,hotfix,0
526,15,3,0,17.8,32,feature,0
54,6,1,0,13.0,34,hotfix,1
101,4,1,0,6.3,41,release,0
380,9,0,0,0.5,39,feature,1
15,9,0,0,3.0,18,hotfix,0
23,8,5,0,0.7,82,feature,0
15,6,3,0,4.1,156,release,0
38,7,2,1,22.6,81,feature,0
146,10,1,0,1.8,94,feature,0
160,8,3,0,29.6,53,feature,0
122,11,5,0,5.9,78,feature,0
19,9,6,1,1.1,100,feature,0
7,16,2,1,1.1,128,release,0
96,5,3,0,10.3,36,feature,0
54,4,3,0,10.0,31,release,0
149,8,4,0,5.8,3,feature,0
195,15,2,0,0.9,294,feature,0
105,11,4,0,12.8,280,release,0
208,10,1,0,6.6,67,feature,0
116,11,4,0,2.0,70,hotfix,1
161,8,1,0,1.9,227,release,0
41,4,2,0,4.9,19,feature,0
74,15,3,0,2.2,28,hotfix,0
112,7,2,0,17.8,238,feature,0
222,12,3,0,9.5,52,feature,0
58,2,1,0,17.0,24,feature,1
160,4,1,0,15.4,104,hotfix,1
67,6,3,1,30.9,36,feature,1
79,4,0,0,5.1,208,feature,0
224,9,3,0,5.2,78,release,0
10,3,1,0,6.8,38,feature,0
22,18,4,0,3.8,40,release,0
18,8,1,1,8.3,100,feature,0
7,10,4,0,13.0,58,feature,0
43,2,1,0,6.3,51,feature,0
205,10,2,0,19.5,132,feature,0
66,5,0,0,4.3,230,feature,0
112,12,1,1,0.6,117,hotfix,1
298,11,2,0,31.1,33,hotfix,1
388,11,2,0,20.3,22,feature,0
83,3,2,0,10.3,126,feature,0
399,11,1,0,2.4,117,feature,0
100,10,1,0,2.8,48,feature,0
36,11,1,0,15.8,59,feature,0
47,4,4,0,50.3,35,feature,1
18,16,3,0,14.3,23,hotfix,0
34,9,0,1,18.5,39,release,1
61,4,1,0,3.4,2,hotfix,1
218,6,1,0,16.0,179,feature,0
598,14,4,0,5.3,15,feature,0
20,4,0,0,23.8,68,feature,0
139,8,1,0,12.9,4,feature,1
29,5,1,0,5.7,114,feature,0
152,6,2,0,11.7,143,release,0
78,3,3,1,4.5,74,feature,0
12,7,0,0,1.8,64,feature,0
250,6,2,0,23.7,35,feature,0
46,9,3,1,11.8,176,release,0
50,2,0,0,3.4,11,feature,0
28,2,2,0,2.2,45,hotfix,0
44,3,1,0,9.6,31,feature,0
144,6,1,0,0.7,30,feature,0
73,4,3,0,2.7,172,hotfix,0
129,5,1,0,5.1,61,feature,0
134,7,1,0,19.8,35,hotfix,0
385,9,1,0,4.7,92,feature,0
62,6,3,0,20.2,85,feature,0
18,1,2,0,22.1,141,feature,0
291,7,3,0,31.5,100,hotfix,0
63,3,2,0,6.0,64,hotfix,0
307,13,2,0,1.4,68,feature,0
137,5,2,0,5.6,97,feature,0
78,7,3,1,10.3,26,feature,1
132,4,0,0,11.2,84,feature,0
770,23,5,0,2.4,226,feature,0
884,19,3,1,5.4,74,feature,1
97,6,3,1,3.7,49,release,1
107,4,0,0,10.6,49,feature,0
294,7,3,0,4.1,93,feature,0
36,4,4,0,3.0,80,release,0
130,5,5,0,8.3,119,feature,0
87,9,1,0,4.1,37,hotfix,0
127,7,0,0,0.8,58,feature,1
36,3,5,0,18.0,135,feature,0
16,7,1,0,2.0,144,feature,0
9,4,1,1,0.4,144,feature,1
26,7,0,0,7.8,124,hotfix,0
54,4,0,0,2.9,127,feature,0
65,7,5,0,0.7,84,feature,0
758,16,4,0,5.3,14,feature,0
304,13,2,0,4.4,16,feature,0
31,2,1,0,42.6,73,feature,0
132,4,0,0,23.4,75,hotfix,0
58,5,4,0,11.7,29,feature,0
66,4,2,0,8.7,31,feature,0
110,5,4,0,20.1,63,feature,1
178,9,0,0,17.0,326,feature,0
62,4,1,0,6.4,24,feature,0
290,10,3,0,21.5,47,hotfix,1
26,3,0,0,12.2,141,hotfix,0
91,3,0,0,39.0,121,feature,1
1568,33,5,0,10.1,89,feature,0
115,13,1,0,20.6,7,feature,0
436,12,3,0,37.6,55,hotfix,1
100,6,1,0,29.1,263,feature,0
171,7,1,0,19.0,30,feature,1
85,11,0,0,16.6,29,release,0
75,6,2,0,10.9,218,feature,0
38,8,2,0,10.8,63,hotfix,0
145,9,2,0,2.5,8,feature,0
35,9,1,0,9.3,20,feature,0
187,7,0,0,7.8,38,feature,1
297,8,2,0,7.6,86,feature,0
135,8,2,0,0.4,57,feature,1
66,9,1,1,5.0,27,feature,1
148,11,3,0,14.0,57,hotfix,0
64,11,2,0,6.1,30,feature,0
252,11,3,0,9.4,275,feature,0
12,3,3,0,3.5,19,feature,0
62,6,2,0,3.7,44,feature,0
10,5,1,0,1.1,38,hotfix,0
17,5,3,0,14.2,38,feature,0
404,13,2,0,0.3,22,release,0
241,8,0,0,2.8,206,feature,0
41,4,2,0,2.3,345,feature,0
17,12,0,0,7.1,95,hotfix,0
3,4,1,0,3.1,88,feature,0
50,9,0,0,22.7,11,feature,1
1290,30,2,0,6.0,202,feature,0
145,7,2,0,5.5,30,hotfix,1
49,5,1,1,9.2,9,feature,1
150,5,2,0,8.2,110,feature,0
16,2,1,0,1.2,162,feature,0
65,7,1,0,23.5,200,feature,0
100,7,4,0,6.7,44,release,0
82,8,5,0,21.3,39,feature,0
215,7,1,0,19.3,82,feature,0
132,15,1,0,7.0,57,feature,0
188,9,0,0,11.0,112,feature,0
42,5,3,1,0.6,83,release,1
242,5,4,0,0.7,27,feature,0
540,12,4,0,2.8,205,hotfix,0
31,8,4,0,11.9,112,feature,0
34,10,2,0,7.8,159,feature,0
391,11,3,1,22.7,28,feature,0
73,12,4,0,7.7,110,feature,0
422,9,2,1,3.8,136,feature,1
55,7,1,0,11.4,80,feature,0
446,13,2,0,3.1,21,release,0
104,8,4,0,7.3,73,hotfix,0
120,7,1,0,20.8,126,feature,0
503,14,3,1,27.4,168,feature,1
60,3,1,0,0.5,12,hotfix,1
32,10,3,0,12.5,79,feature,0
55,8,1,0,22.1,16,feature,0
148,8,2,0,0.9,127,hotfix,0
16,8,1,0,7.0,155,feature,0
181,12,2,0,2.0,25,feature,0
50,7,0,0,6.4,20,feature,0
318,19,3,0,31.5,37,feature,1
6,7,3,0,3.0,59,feature,0
38,3,1,0,7.0,32,hotfix,0
14,5,3,0,18.6,136,release,0
36,8,1,1,4.7,168,feature,1
118,11,0,1,2.6,76,hotfix,1
74,6,1,0,12.4,34,release,0
68,4,0,0,6.0,57,feature,0
76,5,5,0,9.6,76,release,0
113,4,1,0,8.5,54,release,0
30,7,3,0,1.2,64,hotfix,1
196,7,1,0,33.8,158,release,1
187,6,1,0,7.0,31,feature,0
137,10,0,0,3.7,292,feature,0
166,13,3,0,6.8,78,release,0
125,5,1,0,3.8,52,hotfix,1
844,19,0,0,7.3,30,feature,0
82,5,1,0,10.2,33,feature,0
64,11,1,0,1.0,69,feature,0
39,5,0,0,26.2,77,hotfix,1
29,3,1,0,1.1,50,feature,0
23,5,2,0,1.8,16,feature,0
34,9,2,0,32.3,69,feature,0
83,5,0,0,6.5,34,feature,0
130,5,4,0,35.4,8,release,1
95,6,5,0,2.8,115,feature,0
39,3,3,0,8.3,10,feature,0
242,8,2,0,5.6,48,feature,0
203,7,1,0,5.3,62,hotfix,1
76,16,2,1,25.4,186,feature,1
44,2,3,0,2.7,9,feature,0
165,5,2,0,5.0,126,feature,0
111,5,3,0,1.0,142,release,0
18,3,2,0,19.4,230,hotfix,0
84,7,2,0,1.2,164,hotfix,0
120,5,1,1,1.2,64,feature,1
33,2,3,0,2.8,130,release,0
111,6,3,0,14.3,193,hotfix,0
18,4,2,0,13.7,6,feature,0
391,9,1,0,11.3,16,release,0
355,16,6,0,43.9,84,hotfix,0
68,7,7,0,17.6,141,hotfix,0
134,8,2,0,5.4,112,hotfix,0
6,6,3,1,7.2,91,feature,1
25,6,2,0,4.2,228,feature,0
65,5,2,0,24.2,50,feature,1
28,3,1,0,17.4,33,feature,0
198,8,2,0,4.3,41,feature,0
810,17,3,0,7.2,86,feature,0
25,2,2,0,3.7,62,release,0
36,3,4,0,8.7,147,feature,0
117,5,2,1,3.9,35,hotfix,1
530,16,2,0,20.0,95,feature,0
23,5,0,0,19.1,131,feature,0
118,5,2,0,17.4,193,feature,0
667,13,3,1,15.7,19,feature,1
15,9,2,0,1.6,40,feature,0
22,4,1,0,1.3,58,feature,0
56,2,1,0,32.0,13,feature,1
51,5,2,1,26.5,90,feature,1
220,10,2,0,11.0,89,feature,0
117,4,4,0,7.1,83,feature,0
13,5,1,0,8.8,54,feature,0
159,7,3,0,19.5,177,feature,0
48,3,2,0,15.7,41,feature,0
366,15,0,1,7.1,165,hotfix,0
45,6,0,0,4.9,40,feature,0
45,4,2,0,2.2,19,hotfix,0
163,7,2,0,16.6,64,hotfix,0
208,5,3,0,0.8,76,feature,1
147,4,2,0,2.2,97,feature,0
14,4,4,0,16.7,3,feature,0
163,6,1,0,8.9,49,feature,0
29,4,3,0,2.6,276,feature,0
117,11,2,0,1.4,37,feature,0
19,7,4,1,37.6,142,release,1
147,4,2,0,1.6,490,feature,0
37,9,3,0,1.7,314,feature,0
22,4,3,1,2.9,22,release,0
197,10,4,0,13.4,133,feature,0
117,5,0,0,12.8,140,feature,0
46,5,2,0,3.6,116,feature,0
444,9,4,0,3.5,18,feature,0
55,6,4,0,6.2,82,release,0
93,9,4,0,16.4,82,feature,0
121,4,1,1,10.0,15,feature,1
46,8,2,0,13.3,52,feature,0
151,5,3,0,7.4,85,feature,0
50,12,2,0,8.2,63,feature,0
57,8,1,0,1.0,123,feature,0
403,13,3,0,10.0,50,feature,0
29,4,1,1,1.3,75,feature,1
6,17,2,0,35.8,150,hotfix,1
530,12,2,0,7.7,252,release,0
1487,27,2,0,8.5,18,hotfix,1
58,4,1,0,29.7,119,feature,0
11,8,2,0,22.5,43,hotfix,0
64,6,1,0,11.2,98,release,0
66,5,3,0,11.8,16,feature,0
73,5,1,0,4.0,180,feature,0
26,4,0,1,6.3,30,feature,0
170,6,4,0,0.6,152,release,0
160,9,3,0,5.0,19,release,1
17,4,0,0,2.5,12,hotfix,0
194,6,2,0,10.1,56,feature,0
861,22,3,0,0.3,83,release,0
109,4,1,1,12.7,335,feature,0
62,6,1,0,11.2,81,feature,0
77,3,2,0,21.1,22,feature,1
177,5,1,0,8.0,133,hotfix,0
13,4,4,0,17.4,204,hotfix,0
108,5,4,0,15.9,28,feature,0
59,4,3,0,3.4,147,feature,0
687,18,6,0,9.7,184,feature,0
74,8,2,0,25.1,135,feature,0
564,15,5,0,9.3,35,hotfix,1
27,3,3,0,5.4,84,feature,0
172,7,1,1,21.2,98,feature,0
128,14,1,0,1.6,176,feature,1
35,16,1,0,2.8,38,hotfix,1
109,9,2,0,0.8,150,hotfix,0
342,8,2,0,0.3,61,feature,0
63,5,0,0,3.8,49,feature,1
14,5,2,0,5.8,72,release,0
88,6,0,0,20.7,2,feature,1
33,9,2,0,42.7,4,feature,0
62,8,2,0,17.8,7,feature,0
82,4,2,0,3.3,101,release,0
14,3,1,0,0.7,55,hotfix,0
15,8,3,1,37.6,36,feature,1
153,12,2,0,9.0,67,feature,0
51,6,3,0,9.9,153,feature,0
5,10,1,0,37.3,64,feature,0
213,8,2,0,24.1,21,feature,0
121,5,2,0,7.2,375,feature,0
41,7,1,0,30.6,70,feature,1
21,20,1,0,1.2,185,feature,0
226,6,4,0,1.1,136,feature,0
132,12,3,1,0.2,46,feature,1
1238,27,5,0,2.2,250,hotfix,0
143,5,3,0,13.7,39,feature,0
138,4,1,0,16.7,100,hotfix,0
75,2,2,0,0.2,89,release,0
221,7,3,0,12.3,96,release,0
179,8,2,0,9.7,219,feature,0
357,13,5,0,5.9,71,feature,0
51,9,4,0,4.1,84,feature,0
56,6,1,0,6.3,88,feature,0
53,6,3,1,20.4,325,feature,0
215,7,1,0,2.2,175,feature,0
468,13,3,0,13.9,11,feature,0
54,4,1,1,0.1,40,hotfix,1
56,3,2,0,21.8,76,feature,0
127,7,2,0,3.8,215,release,0
69,8,2,0,3.0,231,hotfix,0
257,6,5,0,1.0,68,feature,0
8,3,2,0,8.6,39,feature,0
36,5,1,0,16.4,59,feature,0
38,5,2,0,7.0,79,release,0
7,6,2,0,0.3,55,hotfix,0
31,12,4,0,22.7,189,feature,0
33,2,1,0,8.9,50,feature,0
72,13,4,0,0.1,29,feature,0
306,17,1,0,8.8,58,release,0
69,8,0,0,0.3,93,release,0
29,5,0,0,43.4,192,hotfix,1
85,4,2,0,12.2,26,feature,0
285,12,1,0,1.2,93,feature,1
31,6,3,0,23.3,96,feature,0
33,4,0,0,3.0,112,feature,0
166,10,3,0,7.9,50,feature,0
71,9,0,0,4.1,110,hotfix,0
184,13,4,0,0.6,133,release,0
89,4,3,1,0.3,50,feature,1
195,12,4,0,13.7,84,feature,0
29,4,1,0,3.2,61,feature,0
89,6,3,0,4.7,33,release,1
71,7,2,0,16.5,17,hotfix,1
24,9,4,0,4.5,39,feature,0
16,7,2,0,11.5,42,feature,0
191,7,4,1,31.8,16,feature,1
61,2,1,0,13.7,104,feature,0
